MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,0,0,0,0,0,2,16,1,0,0,0,1,0,0,0,1,21
AGOSTO,1,0,0,0,1,10,28,4,6,1,0,6,0,0,2,0,59
SEPTIEMBRE,2,1,0,0,5,23,9,3,14,8,26,45,3,1,3,3,146
OCTUBRE,0,2,0,6,11,21,40,15,54,33,171,76,2,6,3,1,441
NOVIEMBRE,2,0,1,0,12,50,55,28,92,50,373,138,4,21,4,0,830
DICIEMBRE,0,0,1,1,6,71,74,56,150,102,457,129,12,30,4,1,1094
ENERO,1,1,1,2,11,75,58,45,176,105,697,238,20,53,2,3,1488
FEBRERO,2,0,0,3,6,33,13,16,64,49,453,242,47,107,19,7,1061
MARZO,1,0,0,0,4,57,32,26,98,65,470,316,44,99,11,4,1227
ABRIL,0,1,1,0,2,46,19,22,63,64,230,165,12,20,0,0,645
MAYO,0,1,1,0,0,24,6,7,6,3,17,10,0,1,0,0,76
JUNIO,1,0,0,0,0,6,2,0,2,1,0,1,0,0,0,0,13
