MES,XV,I,II,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,0,0,0,0,0,10,1,2,0,1,1,0,0,0,0,15
AGOSTO,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,7
SEPTIEMBRE,0,0,0,1,0,30,1,1,7,2,1,0,1,0,1,45
OCTUBRE,0,0,0,0,5,15,16,5,10,22,8,0,0,1,0,82
NOVIEMBRE,2,0,0,3,22,132,92,20,33,123,68,5,36,1,1,538
DICIEMBRE,2,0,0,5,21,184,118,47,125,279,170,10,22,7,3,993
ENERO,0,0,0,1,22,189,94,78,204,633,261,27,33,4,3,1549
FEBRERO,2,0,0,4,24,119,85,60,168,573,288,20,47,6,2,1398
MARZO,0,0,0,3,11,178,63,55,190,403,148,19,17,1,1,1089
ABRIL,0,0,0,3,4,55,13,22,52,76,23,3,1,1,1,254
MAYO,0,0,0,0,0,57,15,5,13,2,0,0,0,0,0,92
JUNIO,0,1,0,0,1,12,3,1,0,1,0,0,0,0,0,19
