MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII,TOTAL
JULIO,0,0,0,0,0,8,5,0,4,3,0,2,0,0,2,0,24
AGOSTO,1,0,0,4,0,7,7,1,7,5,9,8,0,2,0,0,51
SEPTIEMBRE,0,0,0,0,9,18,17,9,8,4,17,28,1,1,3,1,116
OCTUBRE,1,0,0,1,7,44,45,14,30,14,82,57,5,39,7,2,348
NOVIEMBRE,0,0,2,3,8,56,45,46,86,33,247,161,11,51,5,2,756
DICIEMBRE,2,0,0,3,7,73,39,52,152,75,441,286,26,88,10,4,1258
ENERO,0,0,0,2,9,80,42,56,203,102,431,254,21,32,2,4,1238
FEBRERO,1,0,0,0,6,62,37,41,169,125,674,416,38,73,5,1,1648
MARZO,0,0,0,1,8,58,29,54,166,110,427,187,6,8,1,0,1055
ABRIL,0,1,0,0,4,26,20,27,67,49,140,45,3,1,0,1,384
MAYO,0,1,1,0,1,8,7,7,6,10,4,13,1,1,0,0,60
JUNIO,1,1,0,0,0,4,2,0,0,0,0,0,0,1,0,0,9
