MES,XV,I,II,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII
JULIO,0.0,0.0,0.0,0.3,0.0,10.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AGOSTO,0.0,0.0,0.0,0.2,30.0,21.4,0.0,0.0,2.0,0.4,0.0,0.0,0.0,0.0,6.2
SEPTIEMBRE,0.0,0.0,0.0,14.6,16.9,208.9,59.2,4.9,288.1,222.2,119.4,2.3,0.8,0.6,2.6
OCTUBRE,0.0,0.0,0.0,14.6,109.1,278.7,663.0,38.3,18.0,23.8,4.5,21.7,0.3,0.4,15.4
NOVIEMBRE,0.0,0.0,0.0,0.0,72.0,4097.9,15402.4,7396.8,234.8,323.6,140.6,17.1,4.9,5.3,2.7
DICIEMBRE,0.0,0.0,0.0,1.6,165.6,8141.9,5010.5,13565.7,7017.1,878.9,91.5,1.2,4.6,0.3,32.9
ENERO,0.5,0.0,0.0,0.0,3165.7,12272.5,31415.1,83063.3,241211.6,114822.5,7226.8,14.1,21.0,0.0,0.6
FEBRERO,0.0,0.0,0.0,0.0,16.7,982.1,513.1,443.2,3077.2,2336.5,459.5,68.2,56.5,0.0,1.5
MARZO,0.0,0.0,0.0,1.8,19.8,948.2,81.3,973.6,567.0,618.1,274.4,2.0,5.7,0.0,0.0
ABRIL,0.0,0.0,0.0,9.2,44.0,103.2,77.1,41.1,115.0,182.3,44.3,0.8,0.8,0.0,0.0
MAYO,0.0,0.0,0.0,0.0,0.0,40.4,12.1,4.0,20.3,0.3,0.5,0.0,0.0,0.0,0.0
JUNIO,0.0,0.0,0.0,0.0,0.0,13.0,0.0,12.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0
