MES,III,IV,V,RM,VI,VII,VIII,IX,XIV,X,XI,XII
JULIO,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGOSTO,0.0,0.0,175.6,0.0,1.5,0.0,1.3,0.3,0.0,0.0,0.0,0.0
SEPTIEMBRE,0.0,0.0,295.0,0.0,0.0,0.0,0.1,0.0,0.0,0.8,20.0,0.0
OCTUBRE,0.0,0.0,140.5,13.3,20.1,12.6,52.1,18.1,0.5,0.3,134.3,0.0
NOVIEMBRE,0.0,15.0,182.1,144.1,89.3,35.8,372.7,75.7,21.9,1.2,0.0,0.0
DICIEMBRE,0.0,7.4,1270.7,297.8,125.5,312.5,1272.0,251.3,7.7,19.3,8.2,0.0
ENERO,0.0,20.7,341.1,869.9,5082.4,17115.6,4412.3,6082.8,65.7,2365.5,3.3,0.1
FEBRERO,0.0,25.7,800.7,221.9,3635.1,4551.3,24544.2,18759.4,390.9,1842.9,66.6,3.1
MARZO,0.0,74.0,849.9,687.8,747.3,1281.0,4786.5,20708.2,296.7,652.5,0.2,0.9
ABRIL,0.0,0.1,54.4,12.5,394.5,167.3,425.9,76.1,9.8,50.9,0.0,0.0
MAYO,0.0,5.0,45.0,1.2,129.0,14.9,21.7,0.0,0.0,0.0,0.0,0.0
JUNIO,0.0,0.0,82.1,467.6,6.2,6.0,0.3,0.0,0.0,0.0,0.0,0.0
