MES,XV,I,II,III,IV,V,RM,VI,VII,XVI,VIII,IX,XIV,X,XI,XII
JULIO,0.0,0.0,0.0,0.0,0.0,13.3,0.2,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
AGOSTO,0.05,0.0,0.0,0.0,1.3,41.3,7.3,8.1,39.0,0.2,0.0,1.1,0.0,0.0,0.2,0.0
SEPTIEMBRE,0.01,3.9,0.0,0.0,9.1,225.6,2.8,3.5,16.5,14.8,19.9,27.8,5.1,4.0,2.9,4.9
OCTUBRE,0.0,1.0,0.0,7.2,25.0,352.3,20.1,8.1,201.3,45.3,232.3,204.9,0.5,4.0,0.0,0.0
NOVIEMBRE,0.66,0.0,2.3,0.0,113.7,90.6,36.4,55.8,866.4,279.7,248.8,213.0,0.8,26.1,1.6,0.0
DICIEMBRE,0.0,0.0,0.03,0.0,5.0,617.5,137.8,124.8,511.2,281.1,595.9,364.3,5.6,6.8,0.6,0.3
ENERO,1.0,2.5,0.3,0.1,30.5,4969.5,217.2,1250.7,2932.2,728.5,3417.9,4860.9,19.4,257.6,0.1,3.5
FEBRERO,0.0,0.0,0.0,0.2,12.8,47.1,493.3,11.4,83.0,50.9,408.2,3351.4,116.1,289.2,9.5,0.9
MARZO,7.0,0.0,0.0,0.0,2.5,463.9,13.3,30.7,141.9,178.6,583.4,2325.8,70.2,191.8,22.0,316.9
ABRIL,0.0,5.5,0.5,0.0,0.3,96.3,16.6,33.8,86.8,96.2,327.4,709.0,14.5,33.6,0.0,0.0
MAYO,0.0,15.0,0.08,0.0,0.0,14.8,7.2,10.2,15.3,0.9,23.7,36.1,0.0,0.2,0.0,0.0
JUNIO,0.5,0.0,0.0,0.0,0.0,11.5,1.1,0.0,8.2,0.0,0.0,0.3,0.0,0.0,0.0,0.0
